,nameWithOwner,idade_repositorio,pull_requests_aceitas,releases,tempo_ate_ultima_atualizacao,linguagem_primaria,issues_fechadas,total_issues
0,freeCodeCamp/freeCodeCamp,3891.30,25716.00,0.00,0.22,TypeScript,19631.00,19824.00
1,codecrafters-io/build-your-own-x,2659.54,142.00,0.00,21.16,Markdown,595.00,821.00
2,sindresorhus/awesome,4057.47,679.00,0.00,32.27,N/A,340.00,353.00
3,EbookFoundation/free-programming-books,4330.76,6820.00,0.00,2.41,Python,1150.00,1181.00
4,public-apis/public-apis,3439.05,1872.00,0.00,91.38,Python,703.00,711.00
5,kamranahmedse/developer-roadmap,3079.47,3679.00,1.00,0.03,TypeScript,2693.00,2941.00
6,jwasham/coding-interview-university,3361.93,415.00,0.00,257.05,N/A,453.00,516.00
7,donnemartin/system-design-primer,3096.36,200.00,0.00,90.57,Python,91.00,339.00
8,996icu/996.ICU,2338.73,1067.00,0.00,320.52,N/A,0.00,0.00
9,vinta/awesome-python,4071.17,544.00,0.00,33.35,Python,0.00,0.00
10,awesome-selfhosted/awesome-selfhosted,3732.93,2394.00,1.00,2.47,N/A,806.00,806.00
11,practical-tutorials/project-based-learning,3051.83,182.00,0.00,369.81,N/A,79.00,209.00
12,facebook/react,4470.36,12111.00,105.00,0.09,JavaScript,13192.00,13990.00
13,vuejs/vue,4404.90,1133.00,249.00,313.73,TypeScript,9673.00,10028.00
14,TheAlgorithms/Python,3321.64,2976.00,0.00,0.45,Python,1511.00,1587.00
15,torvalds/linux,5098.09,10.00,0.00,0.31,C,0.00,0.00
16,trekhleb/javascript-algorithms,2705.72,302.00,0.00,188.36,JavaScript,229.00,366.00
17,tensorflow/tensorflow,3573.99,35909.00,219.00,0.01,C++,39837.00,40730.00
18,ossu/computer-science,4126.03,298.00,0.00,33.93,HTML,638.00,652.00
19,getify/You-Dont-Know-JS,4294.93,368.00,0.00,91.44,N/A,863.00,944.00
20,trimstray/the-book-of-secret-knowledge,2614.59,122.00,0.00,273.46,N/A,0.00,0.00
